Название вакансии,Оклад,URL,Название компании,Метро,Описание
Программист-разработчик python (midle),90 000-200 000 руб.,https://hh.ru/vacancy/35758988?query=python, CATAPULTO.RU,,"Участие в проектировании систем. Разработка нового функционала на Django. Рефакторинг текущей кодовой базы. Поиск ошибок, их устранение. Разработка интеграций с... Опыт работы с MySQL / Postgres. Опыт работы с Shinx. Опыт работы c redis / rabbitmq. Опыт работы с docker / docker-compose. "
Junior Python developer,80 000-150 000 руб.,https://hh.ru/vacancy/35807715?query=python,ООО Константа,, Знание python 3.5+. — Желание работать не с Django. Мы совсем не используем Django в разработке. Плюсом будет знакомство...
Python Data Scientist,от 150 000 руб.,https://hh.ru/vacancy/35906317?query=python, Web Interactive World,,Потоковая обработка данных. Тематическое моделирование. Построение моделей объектной тональности. Решать задачи на стыке графовых структур и ML. Работать с семантикой... Умеете программировать на Python. Не боитесь сложной математики и можете разобраться со статьёй на arxiv и повторить это в коде. 
Программист Python (ГИС),от 140 000 руб.,https://hh.ru/vacancy/35813994?query=python, РеИнформ Инт.,,"Разработка инструментов для для обработки и анализа пространственных данных. - Разработка модулей для QGIS. Высшее техническое образование. - Опыт разработки на Python 2.7, 3.7 от 1 года. - Опыт работы с реляционными БД (PostgreSQL). - "
Web-разработчик Python,60 000-100 000 руб.,https://hh.ru/vacancy/35646714?query=python, Carbon Soft,,"90% Backend разработка на Python. 10% Frontend разработка (HTML, CSS, JS, JQuery, Bootstrap, шаблонизатор). Любить программирование. Опыт программирования на Python. Знание git или другой системы контроля версий. Опыт работы с Django, Flask или подобными. "
Senior Python Developer,200 000-300 000 руб.,https://hh.ru/vacancy/35893261?query=python, Arrival Digital,,"Внедрение и поддержка системы ERP Odoo в нескольких подразделениях компании Arrival. Интеграция системы Odoo с внутренними и внешними системами. Python 3 (Flask, Django, Pyramid, FastAPI). Amazon Web Services (EC2, Beanstalk, S3, Lambda). Базовое понимание технологий фронтенда (HTML..."
Senior Python разработчик,от 220 000 руб.,https://hh.ru/vacancy/30424698?query=python,ООО ВижнЛабс (VisionLabs),,"Разработка архитектуры сервисов распознавания лиц и компьютерного зрения, поддержка и развитие функционала. - Создание внешних API для работы с партнёрами. -  Необходимый опыт и знания: - Широкий опыт разработки на Python (3.x) от 2х лет. - Плюсом будет знание одного или..."
Python разработчик,120 000-170 000 руб.,https://hh.ru/vacancy/35900573?query=python, iTrend,," Опыт коммерческой разработки на Python 3.5+/Django от 3-х лет. - Понимание работы протокола HTTP, опыт проектирования REST..."
Разработчик Python Backend,от 150 000 руб.,https://hh.ru/vacancy/35906395?query=python, Web Interactive World,,"Сбор данных, разработка архитектуры их хранения, представление их удобном для анализа виде. Построение архитектуры решения, написание ключевых блоков кода проекта.  Отличное знание Python 3.6 (ООП). Опыт работы с веб-фреймворками Django, Celery. Владение многопоточным multiprocessing и асинхронными подходами asyncio..."
Python разработчик,100 000-150 000 руб.,https://hh.ru/vacancy/35620095?query=python, RU-CERT,,Разработкой серверной части веб-приложений (REST API). Автоматизацией процессов обработки данных. Интеграцией модулей анализа вредоносной активности в распределенные системы.  Опыт работы в Linux/Unix. Знание git. Опыт в разработке асинхронных python-приложений (asyncio). Опыт работы с веб-серверами (nginx...
Back-end разработчик (Python),80 000-120 000 руб.,https://hh.ru/vacancy/35907167?query=python,ООО Когнитивные системы,,"Разработка проектов, реализующих функционал искусственного интеллекта (ИИ). Поддержка существующих вэб-приложений и сервисов: улучшение кода, создание новых фич и расширение... Python ООП + Функциональное программирование (map, reduce и т.д.). Навыки Linux bash, Jupyter notebook. PostgreSQL, Mysql (SQLAlchemy), Pandas. "
Senior Python developer,до 300 000 руб.,https://hh.ru/vacancy/35975570?query=python, Improvado,,"Разрабатывать и внедрять новый продуктовый функционал. Оптимизировать существующие решения, в т.ч. архитектурные с точки зрения производительности, надежности, расширяемости.  Опыт разработки на Python от 4-х лет (знание алгоритмов, понимание и умение применять паттерны проектирования, покрытие тестами, multi-process..."
Программист Wolfram Mathematica и Python,,https://hh.ru/vacancy/35956763?query=python, IntergridMidwest Group LLC (ИП Кляхандлер М.Л.),,"Поддерживать и улучшать имеющиеся программы, писать новые с нуля. Программы инженерные и исключительно для внутреннего пользования в компании. Высшее техническое образование (математики, физики, энергетики - плюс). Хорошее знание Wolfram Mathematica/Python или желание и возможность их выучить. "
Программист Python,170 000-250 000 руб.,https://hh.ru/vacancy/35782747?query=python,ООО Дефенс Групп,,"Автоматическое тестирование (pytest, tox). Виртуализация на уровне ОС (Docker, Swarm, kubernetes). Системы управления конфигурацией (Ansible). Уверенное знание Python 3. Разработка API (Flask, SQLAlchemy, marshmallow, OpenAPI/Swagger). Знание SQL, опыт работы с MySQL и оптимизации запросов. "
Python developer,от 4 000 USD,https://hh.ru/vacancy/30005963?query=python, NetworkOptix,,"Исследование проблем в работе тестируемого продукта с помощью различных инструментов. Библиотека для тестирования — Python-проект для работы с виртуальными машинами... Умение и опыт работы в команде. Уверенные знания Python. Опыт разработки под Linux, знание командной строки Linux. Наличие примеров кода. "
Программист-разработчик Python (junior),,https://hh.ru/vacancy/35028427?query=python, Ростелеком - Центры обработки данных,,Участие в обсуждении архитектуры продукта. Разработка backend и frontend на python. Работа с базой данных на PostgreSQL. Поддержка и доработка... Алгоритмическая подготовка. Техническое образование или эквивалентный практический опыт. Знание Python 3.5+. Умение писать простые SQL-запросы. 
Senior Python Developer (to Riga),,https://hh.ru/vacancy/35713241?query=python, Betby,,"Писать web-сервисы и их компоненты. Работать с самыми новыми фреймворками. Вести документацию. Опыт с Python не менее 3х лет - важно. Опыт асинхронного программирования(особенно полезен опыт работы с aioamqp, aiohttp). "
Python Software Engineer,800-2 500 USD,https://hh.ru/vacancy/35789785?query=python, Route4Me,,"Ему придется разрабатывать python-based проекты с нуля полностью самостоятельно, или в составе команды. Внедрять и участвовать в разработке математических... ...Python. Знание возможностей Python и экосистемы Python (модули, IDE, shell & bash). Опыт настройки среды Linux / Unix с помощью инструментов Python. "
Data Sсientist (ML/Python),,https://hh.ru/vacancy/33481247?query=python, ДомКлик,,"Разрабатывать и внедрять сервисы, использующие машинное обучение и deep learning. Участвовать в процессе подготовки данных. Разрабатывать различные модели машинного обучения.  Навыки программирования, умение писать хорошо читаемый код, знание Python. Знание и опыт работы с реляционными СУБД (мы используем Postgres). "
Junior python-разработчик,,https://hh.ru/vacancy/35790544?query=python, РБК,,"Разработка веб-краулеров. Сопровождение существующего кода. Техническая поддержка существующих сервисов. Базовые знания языка Python: основные типы данных, управляющие конструкции, модули, функции, классы. Базовое понимание HTTP и HTML. Понимание основных принципов..."
